城市,啟始時間,結束時間,最高溫度,最低溫度,感覺
臺北市,2023-09-12T18:00:00+08:00,2023-09-13T06:00:00+08:00,29.0,25.0,舒適
新北市,2023-09-12T18:00:00+08:00,2023-09-13T06:00:00+08:00,29.0,25.0,舒適
桃園市,2023-09-12T18:00:00+08:00,2023-09-13T06:00:00+08:00,29.0,24.0,舒適
臺中市,2023-09-12T18:00:00+08:00,2023-09-13T06:00:00+08:00,30.0,26.0,舒適至悶熱
臺南市,2023-09-12T18:00:00+08:00,2023-09-13T06:00:00+08:00,28.0,26.0,舒適至悶熱
高雄市,2023-09-12T18:00:00+08:00,2023-09-13T06:00:00+08:00,29.0,26.0,舒適至悶熱
基隆市,2023-09-12T18:00:00+08:00,2023-09-13T06:00:00+08:00,27.0,24.0,舒適
新竹縣,2023-09-12T18:00:00+08:00,2023-09-13T06:00:00+08:00,28.0,25.0,舒適
新竹市,2023-09-12T18:00:00+08:00,2023-09-13T06:00:00+08:00,29.0,25.0,舒適
苗栗縣,2023-09-12T18:00:00+08:00,2023-09-13T06:00:00+08:00,29.0,25.0,舒適至悶熱
彰化縣,2023-09-12T18:00:00+08:00,2023-09-13T06:00:00+08:00,29.0,25.0,舒適
南投縣,2023-09-12T18:00:00+08:00,2023-09-13T06:00:00+08:00,29.0,25.0,舒適至悶熱
雲林縣,2023-09-12T18:00:00+08:00,2023-09-13T06:00:00+08:00,28.0,24.0,舒適至悶熱
嘉義縣,2023-09-12T18:00:00+08:00,2023-09-13T06:00:00+08:00,29.0,25.0,舒適至悶熱
嘉義市,2023-09-12T18:00:00+08:00,2023-09-13T06:00:00+08:00,28.0,24.0,舒適至悶熱
屏東縣,2023-09-12T18:00:00+08:00,2023-09-13T06:00:00+08:00,28.0,25.0,舒適
宜蘭縣,2023-09-12T18:00:00+08:00,2023-09-13T06:00:00+08:00,27.0,23.0,舒適
花蓮縣,2023-09-12T18:00:00+08:00,2023-09-13T06:00:00+08:00,28.0,24.0,舒適
臺東縣,2023-09-12T18:00:00+08:00,2023-09-13T06:00:00+08:00,27.0,24.0,舒適
澎湖縣,2023-09-12T18:00:00+08:00,2023-09-13T06:00:00+08:00,28.0,26.0,舒適至悶熱
金門縣,2023-09-12T18:00:00+08:00,2023-09-13T06:00:00+08:00,27.0,26.0,舒適
連江縣,2023-09-12T18:00:00+08:00,2023-09-13T06:00:00+08:00,27.0,26.0,舒適至悶熱
